air_pressure,air_temp,avg_wind_speed,relative_humidity
918.06,74.822,2.0803542,42.42
917.3476881,71.40384263,2.443009216,24.32869729
923.04,60.638,17.0678522,8.9
920.5027512,70.13889487,4.337363056,12.18910187
921.16,44.294,1.8566602,92.41
915.3,78.404,9.9320136,35.13
915.5988675,70.04330432,3.745586538,10.65742166
918.07,51.71,2.5277422,80.47
920.08,80.582,4.5186188,29.58
915.01,47.498,4.9436374,88.6
919.65,77.036,3.8251674,22.07
915.64,45.716,5.8607828,90.56
917.39,49.784,1.2750558,73.15
920.82,62.438,2.6172198,43.64
911,86.432,1.2079476,15.19
922.3831312,70.86526349,1.847278084,12.11088934
917.89,,2.1922012,48.99
916.9152554,77.01896058,2.274725297,21.03146177
918.8,67.082,4.8765292,18.9
922.04,68.576,9.5517338,7.54
919.9922622,62.96438312,12.68043574,18.80951786
917.23,67.676,2.460634,40.64
921.125626,68.81877189,2.576537767,11.74220123
920.35,47.57,6.263432,54.55
921.7882289,71.65957221,1.946446506,11.19424977
918.03,50.666,2.5277422,76.88
914.49,49.892,4.8541598,92.1
914.9,78.62,1.8119214,47.89
915.84,40.118,10.5359874,86.43
916.31,45.428,8.3437862,86.15
919.35,91.112,2.5277422,25.62
916.28,55.544,2.5948504,79.92
918.7,76.226,4.0936002,19.17
918.37,63.914,14.4506324,19.68
923.6,59.882,4.2949248,22.47
917.3,85.082,2.013246,32.02
912.64,53.996,6.822667,89.77
914.67,64.166,2.125093,58.57
914.66,50.36,8.5227414,91.22
921.9699513,60.95534153,1.664442299,12.1096289
919.3,64.22,10.7596814,34.63
921.09,68.666,14.204569,17.58
921.5,49.55,1.7448132,34.35
914.9,64.688,5.6594582,43.37
924.2,68.882,9.8872748,14.23
914.54,67.658,8.2543086,35.05
917.9,65.66,6.0621074,74.22
916.05,87.188,1.565858,12.88
920.23,67.316,1.230317,13.89
923.6636768,69.03107042,7.55777528,14.69250133
921.9,65.876,4.4962494,10.35
918.58,76.982,1.3197946,15.54
922.36,74.336,4.1830778,12.48
922.928409,68.92146556,9.7874074,8.082800654
923.01855,70.33053243,3.059696039,22.85968417
916.42,45.014,3.0646078,57.71
922.57,45.626,5.2120702,85.71
920.03,66.992,2.460634,29.89
919.09,76.766,1.2974252,19.74
916.18,61.304,1.7224438,78.78
917.8,73.778,0.9395148,11.48
918.54,46.652,16.4862478,91.36
918.24,61.988,4.4515106,60.65
917.02,53.258,3.131716,25.09
919.41,78.314,3.7580592,29.71
921.29,83.228,2.6619586,16.5
922.06,61.754,10.4241404,17.7
925.5882714,66.35298837,17.52793246,14.4246214
917.58,69.368,6.9568834,28.63
922.2062329,57.03648251,12.38532935,14.9694299
917.7625807,82.06433413,2.234508146,16.57866197
925.0971257,57.13349912,14.61830695,18.64230606
920.7428234,74.51537627,13.87609399,9.406636211
916.75,54.572,1.5211192,89.84
922.79,53.978,1.8566602,17.39
920.1,53.492,13.4440094,31.47
922.0704549,76.74220082,3.771458562,13.56782358
921.61,38.138,4.5186188,29.8
916.22,68.252,9.9320136,24.66
915.57,61.34,4.8988986,13.89
916.8,65.444,3.5567346,21.61
917.46,58.298,5.9055216,25.76
925.74,49.55,2.3264176,69.78
917.67,43.862,5.8384134,85.18
920.93,63.824,7.6503348,20.63
916.82,50.288,2.684328,58.73
917.2683056,85.66162976,2.158058057,31.21856628
921.39,76.082,1.901399,47.52
915.9144357,69.38887311,10.97695077,8.498335363
919,68.162,1.7224438,34.63
918.8846912,72.89987778,1.026577543,18.91876489
915.32,83.84,1.5211192,17.49
918.8503361,74.08463941,3.416405485,11.07931552
921.4081299,47.97039461,10.99845315,22.14770138
913.3,79.376,3.2211936,13.07
927.61,54.896,4.9883762,13.51
921.8744784,68.09384795,2.14658555,12.47944521
921.54,43.16,23.5549782,19.38
916.52,51.638,7.4042714,91.69
921.39,46.67,1.7000744,38.09
918.9,77.558,1.1855782,62.1
919.56,78.476,5.9502604,20.19
919.4478167,61.5186601,14.40562685,19.53916528
921.5,54.536,5.0107456,82.28
919.7734056,68.72379995,16.12642905,15.05815004
917.4,73.868,4.138339,58.91
914.95,47.21,7.6279654,90.68
918.1229673,69.6873731,3.65013425,17.1085399
920.36,74.192,4.7199434,14.73
