Country Name	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Belgium	3.540060724	2.362803663	0.642288969	4.733085248	6.411583593	11.2001498	8.440515072	10.37356015	6.982738736	6.657365708	4.832345056	0.12764835	4.467206308	2.404736602	-0.853312163	-2.226529954	-4.387643681	-0.477727534	-4.904699228	0.113792704	-0.257233334	-3.263041778
Benin	-19.10363726	-6.644068111	-12.73973588	-12.65361224	-3.952926818	-4.467265514	-1.957767967	4.903304596	-7.834509184	-14.69434626	-30.03426805	1.20660409	-21.83275454	-32.7603441	2.934091976	-22.8920605	-15.47405343	-20.23406939	-19.32610554	-30.00372564	-29.45331086	-28.93719456
Burkina Faso	-2.397562013	3.759786224	5.796349439	9.548095179	15.8112947	19.29015777	27.33809782	273.2835213	240.9436746	282.4381677	239.2966017	312.002599	259.750243	256.2206763	293.462741	240.4175208	259.079953	235.0034112	257.773534	257.2205865	259.3129313	261.3724488
Bangladesh	-0.001328317	1.518959936	1.736346134	3.625770724	7.739938225	9.710365677	10.58021749	1.916162196	9.172887473	7.348918202	12.66899537	13.50485237	15.56613338	16.31112657	19.24994437	22.58754926	27.10307761	29.99076429	34.11652618	40.09636746	42.45936612	44.67096196
Bulgaria	-20.72920845	-25.50626627	-27.07284065	-28.93582059	-24.34737272	-23.34562251	-27.34215113	-33.47680674	-39.06299829	-38.7570346	-36.4083545	-41.05526812	-35.21454042	-36.28625176	-36.58498297	-35.32853684	-32.89907942	-33.645137	-39.73979817	-37.13774526	-32.51058881	-37.14016729
Bahrain	-15.33594315	-10.95949141	-10.09120269	-10.75729776	-10.09127489	-6.241326479			5.848652538		11.73307737	17.10371512	20.46002921	25.80780831	37.42761233	47.31479476			71.54465478	81.35299412	87.32970525	92.65536823
"Bahamas, The"	-3.474696034	-14.34298917	-17.64678908	-11.42471233	-1.709905148	7.320610446	-1.609002837	2.495643078	-0.36392091	-11.3634107	-12.29154111	-9.421643953	-1.043264504	3.851142354	7.250080398	11.69991935	14.89641831	20.76166096	20.65776235	27.18136802	31.52305485	35.38626796
Bosnia and Herzegovina	-9.980245051	-31.10995499	-40.94907293	-79.21525819	-79.00132752	-77.32118202	-61.74992209	-52.60546509	-50.92597735	-28.18035913	-42.26792038	-45.36059312	-40.46418476	-36.13751989	-33.64852127	-27.28847453	-21.2190659	-22.61274109	-21.8614686	-18.19772036	-15.68639253	-13.44313767
Belarus	-2.063819786	-8.223652346	-17.29837821	-24.5485963	-29.69574822	-29.6015584	-29.18443006	-52.91555901	-52.79975784	-55.02575202	-56.41921416	-51.60657301	-55.75193519	-53.81783743	-51.46493248	-49.04579316	-48.37931413	-45.60206161	-45.1195591	-41.64094725	-41.25430105	-40.86284581
Belize	9.073169702	-0.004888447	-3.876295197	-6.300192127	-4.707789555	-9.285859036	4.734385995	45.9004262	80.75671076	164.9641895	60.1798506	169.0915356	469.6572536	81.13775834	219.6036356	101.7582937	184.8295569	122.5561613	142.5043705	136.8958322	142.8003727	148.1141394
